"SEX","AGE","P","E","N"
2,70,18.3333333333333,20,12.3333333333333
2,60,9,20.3333333333333,18
2,52,19.3333333333333,30,2.66666666666667
1,39,8,19.6666666666667,11
1,57,5.66666666666667,19.6666666666667,8.33333333333333
1,75,19.3333333333333,18.3333333333333,24
2,57,17.6666666666667,12.6666666666667,27
2,50,15.3333333333333,18.6666666666667,21.6666666666667
2,64,37.3333333333333,24,13.3333333333333
2,62,11.6666666666667,10.3333333333333,15
1,32,15.6666666666667,25.6666666666667,7
2,65,10.3333333333333,17.3333333333333,7
2,34,14.3333333333333,22.3333333333333,9.66666666666667
1,65,18,21.3333333333333,5
2,40,21,28,6.33333333333333
2,66,17.6666666666667,28.6666666666667,15.3333333333333
1,41,24,14.3333333333333,30.6666666666667
2,50,14,18.3333333333333,27.3333333333333
2,25,17.3333333333333,17.3333333333333,14
2,38,26.6666666666667,32,7.33333333333333
2,42,22.6666666666667,16,6
1,58,22,28,11.6666666666667
1,63,12,19.3333333333333,2.66666666666667
2,37,19.3333333333333,14.6666666666667,29.3333333333333
2,61,18.6666666666667,23.6666666666667,2.33333333333333
1,31,22,26,16
1,58,19.6666666666667,14,8.33333333333333
1,27,16.3333333333333,12.6666666666667,36.3333333333333
2,60,13,15.6666666666667,13
2,50,19.3333333333333,25,11.3333333333333
1,31,19.6666666666667,20.6666666666667,10.3333333333333
2,40,12.6666666666667,20,12
1,24,16.3333333333333,18.6666666666667,26.3333333333333
1,22,18.6666666666667,27.3333333333333,9.33333333333333
2,56,9.66666666666667,25.3333333333333,20.6666666666667
2,45,11.3333333333333,14,22
1,43,18.6666666666667,26,6.33333333333333
1,44,15.6666666666667,21.6666666666667,13.6666666666667
1,22,13.3333333333333,26,14.6666666666667
1,53,11.6666666666667,10,31.3333333333333
2,22,14.6666666666667,19,9.33333333333333
2,47,12.6666666666667,13,7.33333333333333
2,28,26,21.6666666666667,12.3333333333333
1,50,23,31,15
2,46,20,12.6666666666667,18.6666666666667
2,54,10,13.3333333333333,19
1,56,21.6666666666667,31,5.33333333333333
2,30,14,15.6666666666667,8.66666666666667
1,17,19.3333333333333,26.3333333333333,11
1,21,13,20,2.66666666666667
1,57,25.6666666666667,24,12
2,47,25.3333333333333,17,16.6666666666667
2,19,19.6666666666667,23.6666666666667,14
