sex,age,Arithmetische_Kompetenz,Figural_Induktives_Denken,Wortbedeutung,Langzeitgedächtnis
1,20,1.544,1.154,0.696,-1.627
1,41,2.08,-1.786,0.672,-1.354
2,48,1.064,0.396,2.678,-0.687
2,52,-0.219,-1.784,2.146,-1.354
2,29,0.194,-1.026,0.136,1.622
1,47,0.194,-2.905,0.037,-1.354
2,30,0.194,-2.054,-0.062,-1.354
2,24,1.064,0.583,0.203,-0.132
1,27,1.544,-0.402,2.515,0.044
1,51,2.08,0.195,1.949,-0.687
1,20,0.618,-0.155,-1.061,-1.943
1,38,0.618,-1.756,0.366,-0.132
2,21,0.618,-1.548,0.583,-0.495
1,24,0.618,0.428,1.766,-1.112
2,23,2.708,-0.104,0.288,0.393
1,28,0.618,0.643,2.146,0.044
1,36,1.064,-2.834,-1.826,-1.627
1,30,0.618,-0.388,-0.105,-1.112
1,58,0.618,-2.063,1.113,-1.112
1,35,2.708,-1.004,0.304,-0.892
2,28,1.064,-0.069,0.424,0.218
2,23,-0.219,-1.229,0.349,-1.112
1,26,1.064,-2.541,0.824,-1.354
2,20,-0.628,0.034,0.421,-0.132
1,24,0.618,-1.687,1.46,-0.892
1,34,0.194,-0.901,1.772,-1.627
1,26,1.544,0.477,0.963,-1.112
2,35,2.08,-0.728,2.072,1.152
1,17,1.064,-2.066,-1.157,-1.354
1,27,2.708,-1.053,1.131,-0.495
1,48,2.708,-1.779,-2.924,-2.329
2,35,1.064,0.2,2.074,-0.132
1,37,0.618,-0.628,0.571,-1.112
2,38,-1.045,-1.131,1.847,-1.112
2,51,3.49,1.451,2.423,0.044
2,43,0.194,-2.231,0.616,-0.892
1,56,2.708,-0.213,1.253,0.218
2,27,0.194,-1.057,1.439,1.622
2,35,1.544,-2.127,1.001,-1.943
1,45,2.708,1.165,1.665,-0.687
2,52,0.618,-1.609,1.451,-0.687
1,31,0.194,-0.943,1.418,-1.943
2,54,-0.628,-1.006,0.858,-0.132
1,44,-1.045,-2.062,-1.592,-1.943
2,38,2.08,0.383,0.871,-2.329
2,47,1.064,-0.957,2.229,0.755
1,50,-1.045,-1.689,1.448,-1.943
2,30,1.064,-0.697,0.26,0.571
